0.06203559702782098 0.07395887333678935 0.0924485916709867 0.279419388284085 0.492137549680318
said 0.026976710881979126 0.025091601408147136 0.026768615120766042 0.014213513841670715 0.01788235294117647
mln 0.012405348799742227 0.013363028953229399 0.007674717736172646 0.004075097134531326 0.049102336825141014
vs 1.7900936218964253e-05 0.0005567928730512249 1.4291839359725597e-05 7.588635259834871e-06 0.059300564061240936
dlr 0.009004170918139019 0.005047057978303039 0.004158925253680149 0.0022082928606119477 0.029273166800966963
ct 0.0011456599180137122 0.0003771822688411524 5.7167357438902387e-05 3.0354541039339484e-05 0.03651893634165995
net 0.0005191271503499633 0.00021553272505208708 0.00034300414463341435 0.0001821272462360369 0.027577759871071715
loss 0.00039382059681721356 0.0003771822688411524 0.00025725310847506073 0.00013659543467702768 0.026236905721192586
share 0.0010203533644809624 0.00043106545010417415 0.00017150207231670717 9.106362311801845e-05 0.011016921837228041
year 0.005799903334944417 0.0075436453768230475 0.0035729598399313993 0.0018971588149587178 0.0169798549556809
pct 0.007035067934052951 0.006070838422300453 0.009032442475346576 0.004796017484215639 0.00627880741337631
compani 0.004886955587777241 0.0005747539334722322 0.00035729598399313994 0.0001897158814958718 0.00864464141821112
shr 1.7900936218964253e-05 1.7961060421007258e-05 1.4291839359725597e-05 7.588635259834871e-06 0.02109911361804996
inc 0.0011456599180137122 0.00043106545010417415 0.0003144204659139631 0.00016694997571636716 0.00816760676873489
profit 0.0004475234054741063 0.00026941590631510885 0.0002715449478347863 0.00014418406993686256 0.016154713940370668
bank 0.0015394805148309257 0.00010776636252604354 0.01933685865370873 0.010267423506556581 0.003693795326349718
ha 0.004582639672054849 0.005208707522092105 0.004944976418465056 0.0026256677999028657 0.0023013698630136984
wa 0.007894312872563236 0.005406279186723184 0.007446048306417036 0.003953678970373968 0.0028428686543110395
us 0.005638794908973739 0.011944105179969826 0.008260683149921394 0.004386231180184556 0.0014955680902497986
oper 0.0015215795786119614 0.0007184424168402903 0.0010004287551807919 0.000531204468188441 0.010920225624496373
corp 0.001915400175429175 0.00034126014799913787 0.00017150207231670717 9.106362311801845e-05 0.005846897663174859
would 0.005817804271163382 0.0056936561534593 0.005316564241817922 0.002822972316658572 0.0019145850120870266
billion 0.0029536544761291014 0.0014907680149436023 0.006617121623552952 0.0035135381253035454 0.007232876712328767
sale 0.0009308486833861411 0.0024067820964149725 0.0007431756467057311 0.0003946090335114133 0.007368251410153103
market 0.0028820507312532447 0.005029096917882032 0.0120051450621695 0.0063744536182612915 0.0013344077356970186
oil 0.025562536920680952 0.0007184424168402903 0.0003001286265542375 0.0001593613404565323 0.0010443190975020144
stock 0.002362923580903281 0.001059702564839428 0.0008289266828640846 0.00044014084507042255 0.004344883158742949
rev 1.7900936218964253e-05 1.7961060421007258e-05 1.4291839359725597e-05 7.588635259834871e-06 0.010552780016116035
qtr 8.950468109482126e-05 1.7961060421007258e-05 1.4291839359725597e-05 7.588635259834871e-06 0.010507655116841257
price 0.010472047688094087 0.005981033120195416 0.0015721023295698156 0.0008347498785818358 0.0012377115229653506
offer 0.0007160374487585701 0.003161146634097277 0.0009432613977418894 0.0005008499271491015 0.0005414987912973409
thi 0.0036696919248876718 0.005424240247144192 0.005573817350292983 0.0029595677513356 0.0019403706688154714
one 0.0030073572847859943 0.0021373661900998633 0.003258539374017436 0.0017302088392423508 0.0032941176470588237
last 0.0046900452893686335 0.0040771607155686476 0.0034872088037730454 0.0018516270033997087 0.002288477034649476
group 0.0009666505558240696 0.0005747539334722322 0.0007003001286265542 0.0003718431277319087 0.0025269943593875907
also 0.00298945634856703 0.002299015733888929 0.0029155352293840217 0.0015480815930063137 0.0022691377921031427
note 0.00039382059681721356 0.0005029096917882032 0.0012290981849364013 0.0006526226323457989 0.006684931506849315
expect 0.0020049048565239963 0.00202959982757382 0.003258539374017436 0.0017302088392423508 0.003493956486704271
includ 0.0010024524282619982 0.001059702564839428 0.0007574674860654566 0.0004021976687712482 0.005021756647864625
report 0.0035801872437928504 0.003717939507148502 0.0016435615263684436 0.0008726930548810102 0.0032038678485092668
co 0.0011814617904516405 0.00035922120842014514 0.0003287123052736887 0.00017453861097620205 0.0031329572925060437
per 0.0023987254533412096 0.0025684316402040377 0.0003858796627125911 0.00020489315201554153 0.00375825946817083
new 0.0024524282619981025 0.0019936777067318056 0.002686865799628412 0.0014266634288489558 0.001830781627719581
april 0.0008771458747292483 0.001742222860837704 0.0011433471487780477 0.0006070908207867897 0.004970185334407736
march 0.0018616973667722823 0.001760183921258711 0.001700728883807346 0.0009030475959203497 0.003571313456889605
two 0.0018795983029912464 0.002316976794309936 0.0023581534943547234 0.0012521248178727538 0.0026559226430298145
unit 0.001772192685677461 0.0010237804439974137 0.001171930827497499 0.0006222680913064594 0.0016180499597099115
rate 0.0008592449385102841 0.0010237804439974137 0.011547806202658282 0.006131617289946576 0.0009669621273166801
dollar 0.0003401177881603208 8.980530210503628e-05 0.012891239102472488 0.006844949004371054 0.0005930701047542305
industri 0.003168465710756673 0.0010417415044184208 0.001986565671001858 0.001054820301117047 0.0018436744560838033
quarter 0.0009666505558240696 0.0001616495437890653 0.0004573388595112191 0.00024283632831471587 0.005576148267526188
product 0.005799903334944417 0.0034485236008333932 0.00037158782335286553 0.00019730451675570665 0.0014955680902497986
trade 0.0014678767699550686 0.0038077448092535384 0.006445619551236244 0.003422474502185527 0.0006962127316680097
